,bot,bot_rank,user,user_rank,user_color,winner,outcome,ranked
24601133,katrain-local,5.880248305248909,anil.zenginoglu,6.452946849030063,black,black,139.5 points,True
24678165,katrain-10k,8.09400102420873,Colin_Randall,9.513994681803275,black,black,61.5 points,True
24675218,katrain-14k,15.615711506460514,GoGoBoi,17.173026580924187,black,black,95.5 points,True
24651410,katrain-local,4.815253135136317,HeyHeyTaeTae,7.940273058417553,black,white,58.5 points,True
24657351,katrain-tenuki,8.839610689655796,bloodscar,12.259105349949714,black,black,11.5 points,True
24592015,katrain-local,9.313454029988325,Colin_Randall,8.942633331732363,black,white,Resignation,True
24597186,katrain-weighted,4.41198690652444,a2d5f5dd5c854226,10.785581701559405,black,white,18.5 points,False
24593664,katrain-10k,9.655105352193829,jacobusvandermerwe,9.961371148026878,black,white,Resignation,True
24591045,katrain-local,9.649772449570854,Fenghuo,11.147630763505394,black,white,46.5 points,True
24651752,katrain-local,4.896925805990197,HeyHeyTaeTae,7.721671576371143,black,black,2.5 points,True
24597355,katrain-weighted,4.721970205628796,a2d5f5dd5c854226,10.785581701559405,black,white,Timeout,False
24600216,katrain-local,6.003740299286104,anil.zenginoglu,6.459157801226407,black,black,34.5 points,True
24570978,katrain-10k,8.480182595434748,Cornfed4,4.3061839627444485,black,white,Resignation,True
24672467,katrain-14k,16.378477492455993,GoGoBoi,17.651992420818015,black,white,Resignation,True
24667897,katrain-tenuki,8.935817609208577,bloodscar,12.787567104520548,black,white,Resignation,True
24592230,katrain-10k,9.477459966107638,Fenghuo,12.282160950789606,black,black,29.5 points,True
24652033,katrain-local,4.957013252763584,HeyHeyTaeTae,7.648190453719,black,white,38.5 points,True
24595934,katrain-10k,9.777650997153472,jacobusvandermerwe,9.672322207128271,black,white,26.5 points,True
24611313,katrain-2k,-0.013453682442019499,a36636,3.4007898193999146,black,black,23.5 points,False
24608354,katrain-local,6.577460080848329,anil.zenginoglu,6.194411940297339,black,white,36.5 points,True
24596559,katrain-weighted,4.756585430052031,Cornfed4,5.1573227419381915,black,white,19.5 points,True
24652139,katrain-local,4.776314469707419,HeyHeyTaeTae,7.825277526503388,black,white,38.5 points,True
24674643,katrain-14k,16.181812893782627,GoGoBoi,17.489521448371978,black,white,26.5 points,True
24673332,katrain-18k,20.823554661819408,bmxpro3325,28.558187978782833,black,white,Resignation,True
24616948,katrain-10k,7.90330841655301,Fenghuo,12.038840367608518,black,white,17.5 points,True
24596692,katrain-10k,9.792472922039885,jacobusvandermerwe,9.784559151074703,black,white,37.5 points,True
24611506,katrain-2k,-0.013453682442019499,a36636,3.4007898193999146,black,white,Resignation,False
24608571,katrain-local,6.233310158520602,anil.zenginoglu,6.461201129384694,black,white,Resignation,True
24643001,katrain-6k,5.30339434838217,cslee8064,4.570518578592569,black,black,93.5 points,True
24652428,katrain-local,4.736412949393625,HeyHeyTaeTae,7.4510897178264806,black,white,Resignation,True
24670532,katrain-14k,14.849006883196527,GoGoBoi,19.536093024137205,black,black,9.5 points,True
24617177,katrain-10k,7.651125563717386,Fenghuo,12.399366976451127,black,black,5.5 points,True
24651327,katrain-local,5.188150793450415,HeyHeyTaeTae,7.178941665279886,black,white,Resignation,True
24664757,katrain-18k,22.536037210840806,Brayden Yee,24.627909724972582,black,white,44.5 points,True
24605417,katrain-weighted,2.7635741381915544,anil.zenginoglu,6.230710775348072,black,white,Resignation,True
24611704,katrain-2k,-0.013453682442019499,a36636,3.4007898193999146,black,white,21.5 points,False
24592902,katrain-10k,10.24577974366441,jacobusvandermerwe,9.383277014787382,black,black,48.5 points,True
24595272,katrain-6k,6.3794304105162425,cslee8064,5.895549954736978,black,black,43.5 points,True
24615257,katrain-10k,8.35069357511427,Fenghuo,12.059921924987382,black,white,24.5 points,True
24651644,katrain-local,5.384859113971935,HeyHeyTaeTae,7.407101900284527,black,white,18.5 points,True
24603121,katrain-10k,9.312215136033991,bretthclarke,16.63494948129707,black,white,69.5 points,False
24593064,katrain-10k,10.495471790815124,jacobusvandermerwe,9.248740567690962,black,white,61.5 points,True
24670535,katrain-14k,14.849006883196527,GoGoBoi,19.536093024137205,black,white,60.5 points,True
24602184,katrain-weighted,3.755343658587517,anil.zenginoglu,6.082278043125253,black,white,Resignation,True
24611988,katrain-2k,-0.013453682442019499,a36636,3.4007898193999146,black,black,33.5 points,False
24601506,katrain-18k,19.945114192475714,bronzson,28.001807877825506,black,white,Resignation,True
24594703,katrain-6k,6.517670493854638,cslee8064,7.316034152624358,black,black,41.5 points,True
24651879,katrain-local,5.640706170718037,HeyHeyTaeTae,7.0304426486070675,black,white,40.5 points,True
24608717,katrain-18k,19.47878155379695,FFBB,12.250498824814397,black,white,50.5 points,False
24612255,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,black,17.5 points,False
24670541,katrain-14k,14.849006883196527,GoGoBoi,19.536093024137205,black,black,45.5 points,True
24651958,katrain-local,5.3646795556813665,HeyHeyTaeTae,7.806920792828151,black,white,60.5 points,True
24672148,katrain-18k,19.818746510070913,czp88,25.385740936851178,black,white,Resignation,True
24593194,katrain-10k,10.142418955861682,jacobusvandermerwe,9.638180574098815,black,white,Resignation,True
24657391,katrain-6k,4.584765875091403,anil.zenginoglu,7.17357269434331,black,black,119.5 points,True
24602869,katrain-18k,19.643952178489563,bronzson,28.312054462574306,black,white,Timeout,False
24644013,katrain-2k,0.09507674010730938,damnearth,2.613882326851506,black,white,Resignation,True
24654035,katrain-influence,6.820843721883993,anil.zenginoglu,7.203085762841468,black,white,Resignation,True
24609031,katrain-18k,19.47878155379695,FFBB,12.250498824814397,black,black,123.5 points,False
24612566,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,white,6.5 points,False
24650963,katrain-local,6.259695871904835,HeyHeyTaeTae,7.228408246808886,black,black,27.5 points,True
24591295,katrain-10k,8.746601979072764,jacobusvandermerwe,9.996694413885294,black,black,37.5 points,True
24670486,katrain-14k,15.061978096567955,GoGoBoi,19.32777311772893,black,white,18.5 points,True
24594447,katrain-weighted,5.185054605895058,Fox go better,8.001040898343948,black,white,Resignation,True
24651172,katrain-local,5.643389913457181,anil.zenginoglu,7.070124196456227,black,white,Resignation,True
24596049,katrain-18k,21.221527307457173,DaveOTN,23.2031081111762,black,black,57.5 points,True
24601077,katrain-18k,19.38244615528661,bronzson,29.45775429424008,black,black,47.5 points,True
24612763,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,white,Resignation,False
24604664,katrain-weighted,2.8784526416030367,davidlooogan,7.449768237100095,black,white,Resignation,True
24651541,katrain-local,4.760815172456681,HeyHeyTaeTae,8.304263515067067,black,black,9.5 points,True
24677551,katrain-10k,8.190886212292522,gohost,9.697863065338403,black,black,51.5 points,True
24591581,katrain-10k,8.895667557545313,jacobusvandermerwe,9.961874686270804,black,black,46.5 points,True
24618401,katrain-10k,7.112100018751292,FreeStoneGB,9.101226509136556,black,black,5.5 points,True
24657498,katrain-weighted,3.0031191745293455,BruceWang,6.0640511073380985,black,white,Timeout,True
24598637,katrain-14k,14.77466260610543,anwu,12.250498824814397,black,black,89.5 points,False
24614511,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,black,44.5 points,False
24604736,katrain-weighted,2.8175881476853597,davidlooogan,7.565769672873426,black,white,6.5 points,True
24652641,katrain-local,4.44576364697269,HeyHeyTaeTae,8.251458641654853,black,white,20.5 points,True
24604552,katrain-weighted,3.0285039034370342,davidlooogan,7.190306140099818,black,white,Resignation,True
24640358,katrain-10k,10.1906652081876,GoNono,9.986468920885784,black,white,74.5 points,True
24604882,katrain-6k,6.350236111610151,buttoXXX,8.150408781783508,black,white,Resignation,False
